"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"12049",,14320.29,60035.49,26083.91,25370.65,13108.68,29942.73
"12292",,,,,181.88,15983.51,15863.54
"12212",,,,431.33,939.48,654.90,129.01
"12182",,,,21930.95,23746.94,18733.25,16938.71
"10029",25160.61,7429.33,3117.22,11966.63,4658.00,1051.04,616.31
"10110",131499.32,57833.95,55514.85,33555.02,17295.37,23385.77,55829.30
"7481",323128.52,151586.94,313461.99,222294.33,241642.67,189507.90,214555.65
"7658",,147.55,,,,,
"8343",,,313.72,9167.07,4292.56,422.83,2593.69
"7824",6318.39,811.24,3564.93,2546.52,2920.73,567.71,
"7389",4522.96,5441.37,11622.82,7723.71,13581.25,9709.28,12061.55
"12188",,,,371.39,315.02,,
"11733",35705.01,28977.75,35474.18,30916.41,50484.65,17893.22,29232.39
"7544",21936.47,19098.98,35559.68,21520.39,25159.93,26445.73,20507.81
"8136",44446.46,25250.11,40987.67,30055.19,33298.90,22832.59,27614.88
"11727",4060.08,9656.74,23711.71,22655.92,16680.86,11697.25,7850.12
"7541",221.99,1051.37,418.45,,150.95,,375.34
"10062",,809.23,1475.29,109.62,97.07,3869.41,
"12236",,,,,15366.93,14302.80,19603.21
"10694",4884.30,4194.92,7753.71,905.81,896.41,1304.74,609.86
"11866",26097.83,21692.13,20009.01,11673.79,9210.98,9348.88,19207.85
"7876",7085.22,4566.33,2889.85,1544.92,1667.33,1902.82,3918.87
"12175",,,13629.87,49545.85,34251.42,41883.59,72798.00
"7313",212854.43,138552.94,159915.07,119226.49,134925.90,108964.78,130505.79
"10793",13097.77,9115.51,14226.26,6398.44,620.71,191.45,826.73
